"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
73, 1.534900069240000e-01, -5.379977779145956e-02, 1.098408432854071e+00, 2.707618774308839e+03, -2.747569144179477e+02, 5.466286863256537e+06, 8.378923991021485e+05, 2.657386580860219e+03, 2.397574079265028e+00, 1.038479290969156e-01, 2.465038225601970e+03, -2.501409368316917e+02
74, 1.422899961470000e-01, -5.263443049277360e-02, 1.149508955545824e+00, 2.802574971830654e+03, -3.164383128321928e+02, 5.706123791335784e+06, 8.984568751229041e+05, 2.722796743566238e+03, 2.345520627539927e+00, 1.123868563142510e-01, 2.438062755674574e+03, -2.752812940739009e+02
75, 1.314399987460000e-01, -5.137133628795417e-02, 1.217821964551783e+00, 2.943200805490922e+03, -3.771697326250495e+02, 6.012833201448767e+06, 9.591603477639266e+05, 2.743707175709715e+03, 2.320360468236790e+00, 1.209453805313773e-01, 2.416774283237831e+03, -3.097084332551565e+02
76, 1.209499984980000e-01, -5.001187382363489e-02, 1.286032716846096e+00, 3.068485106684504e+03, -4.360822684394701e+02, 6.326542994988323e+06, 1.036756510166268e+06, 2.808375005732132e+03, 2.268494068602973e+00, 1.318855888289123e-01, 2.386008587876167e+03, -3.390911154336191e+02
77, 1.108499988910000e-01, -4.856066993422563e-02, 1.376043760124659e+00, 3.237876059784339e+03, -5.142417672800136e+02, 6.727461106611115e+06, 1.128783256140593e+06, 2.857647516698160e+03, 2.223228937918761e+00, 1.448603512235160e-01, 2.353032769460043e+03, -3.737103297015984e+02
78, 1.011300012470000e-01, -4.701715290498424e-02, 1.462274602308930e+00, 3.390402238736376e+03, -5.926809445321549e+02, 7.130840976719617e+06, 1.232107464638637e+06, 2.935283119935693e+03, 2.167129583152886e+00, 1.594279319923355e-01, 2.318581088246308e+03, -4.053143941612008e+02
79, 9.181000292300000e-02, -4.538527151431038e-02, 1.566559802489155e+00, 3.582263280302275e+03, -7.065379503646503e+02, 7.602337520961301e+06, 1.338886217968198e+06, 2.977330442086778e+03, 2.130763022664213e+00, 1.744825657140316e-01, 2.286707008957019e+03, -4.510124345345836e+02
80, 8.290000259900000e-02, -4.366791468532204e-02, 1.670560403008551e+00, 3.743052568300057e+03, -8.011172895851657e+02, 8.069618817738113e+06, 1.473677918580355e+06, 3.073057866865090e+03, 2.061842500723288e+00, 1.934867179275112e-01, 2.240596964682693e+03, -4.795500289258711e+02
81, 7.440000027400000e-02, -4.186607976498817e-02, 1.804982209984998e+00, 3.969277645593759e+03, -9.383099891088343e+02, 8.673833121472143e+06, 1.626236337245889e+06, 3.138636929223936e+03, 2.011994557366789e+00, 2.149957826295709e-01, 2.199067460962260e+03, -5.198444527143748e+02
82, 6.633000075800000e-02, -3.998513962421356e-02, 1.926698855775721e+00, 4.144290094478566e+03, -1.062874066159496e+03, 9.209721136327598e+06, 1.783763625699109e+06, 3.225178896831620e+03, 1.950488522033057e+00, 2.372054035034520e-01, 2.150979683231299e+03, -5.516555236295945e+02
83, 5.869000032500000e-02, -3.802635805630503e-02, 2.086498788521626e+00, 4.406983572457349e+03, -1.251213680265001e+03, 9.910577537440563e+06, 1.952531799328806e+06, 3.259945383441098e+03, 1.918242239209170e+00, 2.609998659657828e-01, 2.112142885824479e+03, -5.996714146915652e+02
84, 5.149000138000000e-02, -3.599337852580232e-02, 2.242175784834145e+00, 4.602066038110236e+03, -1.429818108330150e+03, 1.057620672990931e+07, 2.158977701220610e+06, 3.354353617079746e+03, 1.851142696512576e+00, 2.901064750936674e-01, 2.052500106922104e+03, -6.376922442929308e+02
85, 4.473999887700000e-02, -3.389028465845557e-02, 2.473802048549387e+00, 4.921014416820177e+03, -1.717213244221749e+03, 1.155551517468700e+07, 2.425975030886693e+06, 3.416266380624968e+03, 1.798112389899816e+00, 3.277501717791679e-01, 1.989251492335780e+03, -6.941595206571625e+02
86, 3.844000026600000e-02, -3.171811260404538e-02, 2.697949828261379e+00, 5.168042475556039e+03, -1.995497378653842e+03, 1.251303799316266e+07, 2.730104482019218e+06, 3.525134923146551e+03, 1.725172863873449e+00, 3.706290905529192e-01, 1.915544322366604e+03, -7.396347247642431e+02
87, 3.260000050100000e-02, -2.948109446637338e-02, 2.996856741827866e+00, 5.535872154936263e+03, -2.391699268682125e+03, 1.377973241879659e+07, 3.084943063638174e+06, 3.586010157407527e+03, 1.676207632169072e+00, 4.206574408569558e-01, 1.847226154547441e+03, -7.980692688110813e+02
88, 2.723000012300000e-02, -2.718419978786347e-02, 3.289453864556389e+00, 5.738296996933022e+03, -2.753535757214141e+03, 1.502703906036814e+07, 3.547792079250660e+06, 3.757203389056971e+03, 1.574621533052454e+00, 4.859140783547509e-01, 1.744452797700776e+03, -8.370799137459491e+02
89, 2.232000045500000e-02, -2.482329437156798e-02, 3.698922494303782e+00, 6.037968405595778e+03, -3.232659825616659e+03, 1.674236183957211e+07, 4.160684401238744e+06, 3.918500338262552e+03, 1.475487422628251e+00, 5.723251772921284e-01, 1.632358724708087e+03, -8.739463534569454e+02
90, 1.789999939500000e-02, -2.241364555514381e-02, 4.114283041222572e+00, 6.157242187578698e+03, -3.666396017648244e+03, 1.841321390050444e+07, 4.868904509107839e+06, 4.122564287622322e+03, 1.353196277707266e+00, 6.721764490652904e-01, 1.496552892906720e+03, -8.911384999313909e+02
91, 1.394999958600000e-02, -1.994492353858276e-02, 4.575685640881903e+00, 6.366745428576219e+03, -4.190099738507424e+03, 2.018282841724446e+07, 5.533954171161074e+06, 4.213177184393081e+03, 1.280117131635183e+00, 7.659411612084274e-01, 1.391429815827364e+03, -9.157315574895651e+02
92, 1.049000024800000e-02, -1.742916196961543e-02, 5.054052404512391e+00, 6.211051549214115e+03, -4.725891253674537e+03, 2.206289061532016e+07, 6.414765351321773e+06, 4.421517816276871e+03, 1.158442110115205e+00, 8.901258822490250e-01, 1.228925039176231e+03, -9.350696976262331e+02
