"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.190224127738381e+00, 3.511697348437976e+02, 2.663650535875588e+01, 2.780680704292669e+05, 9.038582810302106e+04, 2.645464492358033e+02, 9.074741418772426e-01, -2.409848942797869e-01, 2.950450479533439e+02, 2.237940295276114e+01
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.183854711968955e+00, 3.516414029578125e+02, 2.560562654448580e+01, 2.767732675536984e+05, 8.970887122000674e+04, 2.639777545556960e+02, 9.143604694345023e-01, -2.558979411193044e-01, 2.970308766799366e+02, 2.162902785756474e+01
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.177385647622478e+00, 3.520894309568994e+02, 2.452243508353367e+01, 2.754569190347486e+05, 8.902261206664555e+04, 2.633976772749082e+02, 9.213618921973757e-01, -2.710159126695050e-01, 2.990434201978611e+02, 2.082786989382144e+01
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.170858408440933e+00, 3.525029372340604e+02, 2.338239885490844e+01, 2.741267651149885e+05, 8.833214926148456e+04, 2.628117413395518e+02, 9.284114455284739e-01, -2.862264887234199e-01, 3.010636766092314e+02, 1.997030442480530e+01
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.164330226501806e+00, 3.528938816328805e+02, 2.217768660458205e+01, 2.727957383151785e+05, 8.764226754094908e+04, 2.622211867861414e+02, 9.354943313244992e-01, -3.014242637519589e-01, 3.030874519964489e+02, 1.904759156791302e+01
50, 4.802699983120000e-01, -5.407492053959814e-02, 1.157656897555862e+00, 3.532624771064712e+02, 2.090508849742432e+01, 2.714339192323560e+05, 8.693824539306517e+04, 2.616142237279541e+02, 9.427515030629374e-01, -3.169335458508430e-01, 3.051530015951247e+02, 1.805810386614619e+01
51, 4.645099937920000e-01, -5.497835513414191e-02, 1.150400792056157e+00, 3.536176810134540e+02, 1.957481338704267e+01, 2.699514225743696e+05, 8.617449265869686e+04, 2.609515666224812e+02, 9.506494058397270e-01, -3.337586651268710e-01, 3.073865069072310e+02, 1.701564665307282e+01
52, 4.487800002100000e-01, -5.581859897363720e-02, 1.142327119084024e+00, 3.539344105669236e+02, 1.820597426576866e+01, 2.682978227590982e+05, 8.532875132410537e+04, 2.602167500477433e+02, 9.593777329283905e-01, -3.523899553217772e-01, 3.098363022762922e+02, 1.593761888483147e+01
53, 4.331099987030000e-01, -5.659141825851464e-02, 1.134673587990981e+00, 3.541757972713121e+02, 1.678082200783905e+01, 2.667266714858516e+05, 8.453062315208648e+04, 2.595215760954470e+02, 9.676076034056761e-01, -3.699723495804147e-01, 3.121389278994369e+02, 1.478911837328537e+01
54, 4.174999892710000e-01, -5.729416860686566e-02, 1.130076736047431e+00, 3.543133184471173e+02, 1.524629927537959e+01, 2.657807099297250e+05, 8.405355175331542e+04, 2.591066028953867e+02, 9.725079536665556e-01, -3.804820117083592e-01, 3.135303180263383e+02, 1.349138407070056e+01
55, 4.019699990750000e-01, -5.792324246601335e-02, 1.130114979236460e+00, 3.543817578719625e+02, 1.352797083842655e+01, 2.657885093548151e+05, 8.405759128599321e+04, 2.591102866976365e+02, 9.724644931770587e-01, -3.803930226729491e-01, 3.135802678338037e+02, 1.197043759880651e+01
56, 3.865399956700000e-01, -5.847520956655861e-02, 1.131271664557550e+00, 3.544567778574552e+02, 1.161671668428206e+01, 2.660286655112908e+05, 8.417550654670877e+04, 2.592084616030986e+02, 9.713059603844241e-01, -3.777954040501574e-01, 3.133259578247161e+02, 1.026872416964979e+01
57, 3.712300062180000e-01, -5.894684318665333e-02, 1.123204953167805e+00, 3.546468675268648e+02, 9.662264057439002e+00, 2.643708840679897e+05, 8.333610203618479e+04, 2.584666525554579e+02, 9.800475275947079e-01, -3.962870969435163e-01, 3.157454625949118e+02, 8.602405135579453e+00
58, 3.560400009160000e-01, -5.933561549045978e-02, 1.095553025716345e+00, 3.547931667886490e+02, 7.913590088677353e+00, 2.586701030789513e+05, 8.047676410454938e+04, 2.558983279253938e+02, 1.010106764995393e+00, -4.592769882858071e-01, 3.238484659897330e+02, 7.223374773213666e+00
59, 3.409900069240000e-01, -5.963847719943702e-02, 1.053964061884824e+00, 3.543316870432085e+02, 6.344495760952630e+00, 2.500746155446986e+05, 7.619768692304542e+04, 2.518525374249398e+02, 1.056894862589215e+00, -5.535430782523214e-01, 3.361895342138616e+02, 6.019650944840235e+00
60, 3.261100053790000e-01, -5.985254444802346e-02, 1.022363625553474e+00, 3.532939136241980e+02, 4.360520834160535e+00, 2.435077391974734e+05, 7.298211660155683e+04, 2.486803158795430e+02, 1.093186583093140e+00, -6.243806042799681e-01, 3.455658092617840e+02, 4.265136909384751e+00
61, 3.113999962810000e-01, -5.997565198183213e-02, 1.010385985917506e+00, 3.525913503159862e+02, 2.053129721080759e+00, 2.409938288017972e+05, 7.178814908824068e+04, 2.475117310026093e+02, 1.106483555741473e+00, -6.506831560343157e-01, 3.489669841331054e+02, 2.032025136627726e+00
62, 2.968699932100000e-01, -6.000550062925582e-02, 1.010861093621899e+00, 3.524740364154002e+02, -3.500115555415168e-01, 2.410783546920675e+05, 7.185070075037688e+04, 2.476109644935791e+02, 1.105355771947782e+00, -6.493051718661464e-01, 3.486869151848465e+02, -3.462508921848313e-01
63, 2.825500071050000e-01, -5.994005483718394e-02, 1.015255616930275e+00, 3.525836134544559e+02, -2.797262744969594e+00, 2.419860246078335e+05, 7.230342903351845e+04, 2.480926161854183e+02, 1.099878280662813e+00, -6.393317773096107e-01, 3.472855580159479e+02, -2.755230011361467e+00
64, 2.684499919410000e-01, -5.977765596976551e-02, 1.019820462129206e+00, 3.527852527087240e+02, -5.319253302831219e+00, 2.429398869217419e+05, 7.276269113902735e+04, 2.485509210553782e+02, 1.094660704291852e+00, -6.292144456701527e-01, 3.459287843393243e+02, -5.215872303371473e+00
65, 2.545700073240000e-01, -5.951657836311273e-02, 1.024065977703627e+00, 3.529626396499748e+02, -7.949052288213093e+00, 2.438286891204781e+05, 7.318815888251459e+04, 2.489678274619961e+02, 1.089909525977649e+00, -6.198415881861188e-01, 3.446678703665761e+02, -7.762246243194315e+00
